min_gap,rr_target,fib_lower,fib_upper,risk_pct,score,total_return,max_drawdown,trades,win_rate,profit_factor
0.1,2.0,0.5,0.79,0.005,-0.16567117170254547,-0.07661754535047904,-0.17810725270413286,265,0.35094339622641507,0.9147182603002076
0.3,2.0,0.5,0.79,0.005,-0.17671596269315426,-0.08314371062542991,-0.1871445041354487,246,0.34552845528455284,0.9007638533555221
0.1,2.0,0.618,0.79,0.005,-0.17706886074632827,-0.09196219650039639,-0.17021332849186377,183,0.3442622950819672,0.8547935391516867
0.1,2.5,0.5,0.79,0.005,-0.17928415129544445,-0.09388394597543259,-0.17080041064002371,244,0.29508196721311475,0.8949542132474921
0.2,2.0,0.5,0.79,0.005,-0.19208577107044505,-0.09966398230046225,-0.1848435775399656,257,0.3424124513618677,0.8858574244863373
0.2,2.0,0.618,0.79,0.005,-0.19282174904637245,-0.10518746452537953,-0.17526856904198584,178,0.33707865168539325,0.8305421735626313
0.1,3.0,0.618,0.79,0.005,-0.20748382940879861,-0.11090227540035846,-0.1931631080168803,171,0.25146198830409355,0.8362819909076575
0.2,2.5,0.5,0.79,0.005,-0.21933438357399798,-0.12287590742541865,-0.19291695229715866,238,0.2857142857142857,0.8582401442739833
0.1,2.5,0.618,0.79,0.005,-0.22039938334121456,-0.12887164318787403,-0.18305548030668106,172,0.27906976744186046,0.8026580703454909
0.3,2.5,0.5,0.79,0.005,-0.22912135657450428,-0.12807379450038725,-0.20209512414823405,227,0.28193832599118945,0.8453806336461568
0.3,2.0,0.618,0.79,0.005,-0.23032182320487316,-0.13538097017537443,-0.18988170605899746,168,0.32142857142857145,0.7724091058639208
0.2,3.0,0.618,0.79,0.005,-0.2408421662011136,-0.13754867537534243,-0.20658698165154232,166,0.24096385542168675,0.7919781909346452
0.1,2.0,0.5,0.79,0.0075,-0.24633333974486216,-0.1179792202006944,-0.2567082390883355,265,0.35094339622641507,0.9095799150568779
0.2,2.5,0.618,0.79,0.005,-0.24874487099374698,-0.14816879800035754,-0.20115214598677889,167,0.2694610778443114,0.7679962996898123
0.1,2.0,0.618,0.79,0.0075,-0.26020963484074594,-0.13731491782557015,-0.24578943403035158,183,0.3442622950819672,0.8500413406542205
0.3,2.0,0.5,0.79,0.0075,-0.26101751850789484,-0.12663542977562248,-0.26876417746454473,246,0.34552845528455284,0.895963230601528
0.1,2.5,0.5,0.79,0.0075,-0.2669171472085151,-0.14345234733812529,-0.24692959974077966,244,0.29508196721311475,0.8892222541521405
0.3,3.0,0.618,0.79,0.005,-0.2763487244159149,-0.16680515657533557,-0.21908713568115867,158,0.22784810126582278,0.7366458793177214
0.2,2.0,0.618,0.79,0.0075,-0.2830840001315074,-0.15654115385054468,-0.2530856925619255,178,0.33707865168539325,0.8253992814726147
0.2,2.0,0.5,0.79,0.0075,-0.2835278241141491,-0.15060891875066673,-0.2658378107269648,257,0.3424124513618677,0.8807532747067298
0.3,2.5,0.618,0.79,0.005,-0.287792536949848,-0.17654958900034645,-0.22248589589900314,160,0.25625,0.7143213161365226
0.1,3.0,0.5,0.79,0.005,-0.3012596363081486,-0.18245431155036074,-0.23761064951557576,223,0.23318385650224216,0.783347821725276
0.1,3.0,0.618,0.79,0.0075,-0.30389347436072905,-0.16525791310051718,-0.27727112252042374,171,0.25146198830409355,0.8314334059840447
0.1,2.5,0.618,0.79,0.0075,-0.32205356661734025,-0.1896788785630369,-0.2647493761086067,172,0.27906976744186046,0.7991758404173495
0.2,2.5,0.5,0.79,0.0075,-0.3236111675879571,-0.1841192360256002,-0.2789838631247138,238,0.2857142857142857,0.8522177162024387
0.1,2.0,0.5,0.79,0.01,-0.3253450784385506,-0.16086261937589097,-0.32896491812531925,265,0.35094339622641507,0.9043698577560217
0.3,2.0,0.618,0.79,0.0075,-0.3350527737887402,-0.19866690350053295,-0.2727717405764145,168,0.32142857142857145,0.7677574997892738
0.3,2.5,0.5,0.79,0.0075,-0.3361048727265483,-0.1906977525380551,-0.29081424037698644,227,0.28193832599118945,0.8397791320971697
0.1,2.0,0.618,0.79,0.01,-0.33976136689628517,-0.1820173844507268,-0.31548796489111675,183,0.3442622950819672,0.845278984084266
0.3,2.0,0.5,0.79,0.01,-0.3425813461017099,-0.17097266827580115,-0.34321735565181755,246,0.34552845528455284,0.89111182002987
0.2,3.0,0.618,0.79,0.0075,-0.3514293441243887,-0.20342190052549047,-0.29601488719779645,166,0.24096385542168675,0.7866378340009362
0.1,2.5,0.5,0.79,0.01,-0.3527608754016702,-0.19408274822580363,-0.3173562543517332,244,0.29508196721311475,0.88343016969518
0.2,3.0,0.5,0.79,0.005,-0.3597218484326764,-0.22232558917535772,-0.2747925185146374,218,0.22018348623853212,0.7278951835862708
0.2,2.5,0.618,0.79,0.0075,-0.3618049462365112,-0.21702426478801073,-0.28956136289700096,167,0.2694610778443114,0.7645041491552214
0.3,3.0,0.5,0.79,0.005,-0.36711067254447016,-0.22793844392533724,-0.27834445723826584,209,0.215311004784689,0.7097237009174703
0.2,2.0,0.618,0.79,0.01,-0.3692387579711088,-0.20682653217569302,-0.3248244515908315,178,0.33707865168539325,0.8202300495592597
0.2,2.0,0.5,0.79,0.01,-0.3721615146738542,-0.2017967217258524,-0.34072958589600366,257,0.3424124513618677,0.8755857018700439
0.1,3.0,0.618,0.79,0.01,-0.39533921752454565,-0.21845324377566033,-0.35377194749777063,171,0.25146198830409355,0.8267073992087052
0.3,3.0,0.618,0.79,0.0075,-0.4003497204390744,-0.24332421947547922,-0.3140510019271904,158,0.22784810126582278,0.7321473277529998
0.3,2.5,0.618,0.79,0.0075,-0.4145339239577733,-0.255658422550493,-0.3177510028145606,160,0.25625,0.7118062732005186
0.1,2.5,0.618,0.79,0.01,-0.41800032624144373,-0.24790983693818558,-0.3401809786065163,172,0.27906976744186046,0.7957707381182578
0.2,2.5,0.5,0.79,0.01,-0.4237442988866175,-0.2445755355007655,-0.35833752677170405,238,0.2857142857142857,0.84613066482864
0.3,2.0,0.618,0.79,0.01,-0.4331367487726373,-0.2589573087006761,-0.34835888014392236,168,0.32142857142857145,0.7631101673116516
0.1,3.0,0.5,0.79,0.0075,-0.4345759576084278,-0.2656460681755055,-0.3378597788658446,223,0.23318385650224216,0.7768684711433457
0.3,2.5,0.5,0.79,0.01,-0.43775480871485256,-0.2518527262882059,-0.3718041648532934,227,0.28193832599118945,0.8341473918827044
0.2,3.0,0.618,0.79,0.01,-0.4554537843373226,-0.26694837230062496,-0.37701082407339526,166,0.24096385542168675,0.7813944614860469
0.2,2.5,0.618,0.79,0.01,-0.4674543222175684,-0.28228505186314923,-0.3703385407088383,167,0.2694610778443114,0.7610881300027429
0.2,3.0,0.5,0.79,0.0075,-0.5123778865898423,-0.3192746779504947,-0.3862064172786951,218,0.22018348623853212,0.7205272634154387
0.3,3.0,0.618,0.79,0.01,-0.5151011039728384,-0.315139333725605,-0.39992354049446677,158,0.22784810126582278,0.7277732600308182
0.3,3.0,0.5,0.79,0.0075,-0.5215237170790736,-0.3262476420004672,-0.3905521501572128,209,0.215311004784689,0.7026709956333455
0.3,2.5,0.618,0.79,0.01,-0.5305674025965915,-0.3289022735756263,-0.40333025804193046,160,0.25625,0.7093749062769857
0.1,3.0,0.5,0.79,0.01,-0.556751177752517,-0.3432595159756311,-0.4269833235537719,223,0.23318385650224216,0.7703617629971974
0.2,3.0,0.5,0.79,0.01,-0.648455704706628,-0.4071102588506099,-0.48269089171203605,218,0.22018348623853212,0.7131434413329121
0.3,3.0,0.5,0.79,0.01,-0.6584564259016894,-0.4147673042755736,-0.48737824325223167,209,0.215311004784689,0.6956023140876711
